成品代號,成品名稱
104CU001,杏仁煎餅140gX10包
104CU002A,杏仁煎餅(2023年版)185gX10盒
104DD001,宜蘭三星蔥風味煎餅105gX10包
304BD001,(品銓)綠藻煎餅 3kg/箱
404AB001B,花生煎餅500gX5包
904AB005,(半)午茶禮盒-(真好禮)手製煎餅-花生
904AB007,(半)歐式午茶禮盒-花生煎餅
904AN003,(半)酥餅總匯-花生煎餅
918AU065A,(半)春之頌經典餅乾禮盒-芝麻煎餅(以kg計)
105AA013,(量)草莓厚捲燒100gX10包
105AA012,醇厚草莓捲180gX10盒
105AB008,濃厚花生脆捲140gX10包
105AD008,濃厚巧克力風味脆捲140gX10包
105AD011,醇厚72%純黑巧克力捲180gX10盒
105AE004,濃厚芋頭牛奶脆捲140gX10包
105AG010,拿鐵咖啡脆捲210gX10盒
105AG013A,捲心脆捲-咖啡口味165gX10包
105AG014,NC摩卡咖啡脆捲1000g單盒裝
105AU014,(量)芭樂檸檬厚捲燒94gX10包
405AE005,濃厚芋頭牛奶脆捲500gX5包
405AE006,濃厚芋頭牛奶脆捲(減糖版)3kgX2包
405AG001C,咖啡脆捲500gX5包
805AGKR003,(外)NC捲心脆捲-咖啡(韓文版)180g X 12包入
905AE001,(半)歐式午茶禮盒-香芋脆捲
905AG002,(半)酥餅總匯-咖啡捲
905AG003,(半)榚餅舖禮盒-拿鐵咖啡脆捲
905AG005,(半)午茶禮盒-(真好禮)拿鐵咖啡脆捲
905AG007,(半)真好禮法式經典綜合餅乾禮盒-咖啡脆捲
905AJ001,(半)巧克力餅坊-榛果脆卷(長支)
905AJ002,(半)米奇巧克力餅坊-榛果脆卷(短支)
905AJ003,(半)歐式午茶禮盒-榛果巧克力脆捲
905AJ005,(半)真好禮法式經典綜合餅乾禮盒-榛果巧克力脆捲
905AJ015,(半)迪士尼收納罐-榛果巧克力脆捲(以kg計)
905AU009A,(半)濃厚花生脆捲112.5g(以包計)
905AU009B,(半)濃厚芋頭牛奶脆捲112.5g(以包計)
918AU065C,(半)春之頌經典餅乾禮盒-濃厚花生脆捲(以kg計)
107AA005A,法國酥-草莓128gX10包
107AA007,濃厚草莓法國酥110gX10包
107AA008,濃厚草莓法國酥168gX10盒
107AA016,濃草莓薄燒(全家版)100gX10包
107AA017A,極濃草莓薄燒(2025年版)88gX10包
107AA018,極濃草莓薄燒100gX10包
107AA019,(量)濃草莓薄燒(增值加量版)110gX10包
107AB004,極濃花生薄燒88gX10包
107AD002A,歐式午茶法國薄酥-巧克力128gX10包
107AD005,濃厚巧克力風味法國酥(立袋)110gX10包
107AD009,濃厚巧克力風味法國酥168gX10盒
107AD011,濃巧克力風味薄燒(全家版)100gX10包
107AE001A,大甲芋頭薄燒(2023年版)88gX10包
107AE004,(量)大甲芋頭薄燒88gX10包
107AG004,法國酥-維也納咖啡180gX10盒
107AT001,台南愛文芒果薄燒100gX10包
107AU011,法式鹽之花榛果可可法國酥100gX10包
107BX002,濃厚哈密瓜法國酥168gX10盒
107BX003A,夕張哈密瓜風味薄燒88gX10包
107CZ001,濃厚靜岡抹茶法國酥100gX10包
107CZ004,SOMA茶歐蕾法國酥88gX10包
107CZ008,SOMA烏龍茶歐蕾法國酥100gX10包
307AA011,(納智捷)草莓法國酥2.75kg(1.375kgX2包)
307AG006,(NISSAN)法式薄餅-維也納咖啡口味1.5kgX2包
407AA001B,法國酥-草莓500gX5包(共用紙箱)
407AG001B,法國酥-維也納咖啡500gX5包(共用紙箱)
807AA015,(外)濃草莓薄燒(韓文版)100gX10包
807AD007,(外)濃巧克力風味薄燒(韓文版)100gX10包
907AA002,(半)巧克力餅坊-法國酥草苺巧克力
907AA009,(半)午茶禮盒-(真好禮)草莓法國酥(白皮)
907AA012,(半)真好禮法式經典綜合餅乾禮盒-草莓法國薄酥
907AB001,(半)酥餅總匯-法國酥花生
907AG002,(半)歐式午茶禮盒-維也納咖啡法國酥
907AU012A,(半)濃厚雙味法國酥禮盒-茶歐蕾(以kg計)
907AU012B,(半)濃厚雙味法國酥禮盒-巧克力(以kg計)
918AU065D,(半)春之頌經典餅乾禮盒-濃厚巧克力法國酥(以kg計)
105AJ001A,米奇榛果巧克力脆捲桶140gX6桶
105AJ018,奇奇蒂蒂收納罐2入餅乾組260gX6盒
105AU009,醇韻雙味脆捲禮盒450gX6盒
106AU004,曲奇范特西禮物盒484gX6盒
107AU012,濃厚雙味法國酥禮盒380gX8盒
107AU013,濃厚雙味法國酥380gX2盒
118AU002A,糕餅舖禮盒-綜合(2018年版)520gX6盒
118AU007A,酥餅總匯量販盒-綜合(2018年版)210gX10盒
118AU017A,真好禮-盛香珍綜合午茶餅乾禮盒610gX6盒(2024年版)
118AU018,TRIKO真好禮巧克力餅坊-綜合570gX6盒(2012年版)
118AU019,歐式午茶禮盒-綜合580gX6盒
118AU023,真好禮法式經典綜合餅乾禮盒320gX6盒
118AU043A,(福利熊)酥餅總匯-綜合(2018年版)300gX10包
