品號,品名,中類名稱,貨品規格,庫位
906AD009,(半)真好禮法式經典綜合餅乾禮盒-巧克力脆餅,(半)西點半成品,西點包裝,A71
906AD011,(半)酥餅總匯-巧克力奶酥(黑皮;kg計),(半)西點半成品,西點包裝,A72
906AN001,(半)真好禮法式經典綜合餅乾禮盒-經典奶酥,(半)西點半成品,西點包裝,A73
906AN004,(半)酥餅總匯-斯娜普,(半)西點半成品,西點包裝,A74
906AU004,(半)曲奇范特西禮物盒-皇家奶油曲奇110g(以盒計),(半)西點半成品,西點包裝,A75
906AU004A,(半)曲奇范特西禮物盒-鹹蛋黃流沙曲奇170g(以盒計),(半)西點半成品,西點包裝,A76
918AU068A,(半)斯娜普蛋酥180g(以包計),(半)綜合半成品,西點包裝,A77
125AC002,蜂蜜檸檬蝴蝶派125gX12盒,派&滾印餅乾,派包裝,A78
125AD002,可可蝴蝶酥85gX10包,派&滾印餅乾,派包裝,A79
125AN006,蝴蝶派150gX12盒,派&滾印餅乾,派包裝,A80
125AN007,蝴蝶派100gX12盒,派&滾印餅乾,派包裝,A81
125AN008,蝴蝶派400gX8盒,派&滾印餅乾,派包裝,A82
125AN010A,蝴蝶派400gX5包,派&滾印餅乾,派包裝,A83
125AN013A,法式奶油千層酥100gX10盒,派&滾印餅乾,派包裝,A84
125AN020,蜂蜜蝴蝶酥204gX12盒,派&滾印餅乾,派包裝,A85
125AN024,法式鹽之花奶油蝴蝶酥85gX10包,派&滾印餅乾,派包裝,A86
125AN028,起司千層酥100gX10盒,派&滾印餅乾,派包裝,A87
125AN032,法式鹽之花奶油蝴蝶酥禮盒408gX6盒,派&滾印餅乾,派包裝,A88
125AN034A,(量)蜂蜜千層酥(2025年版)76gX10包,派&滾印餅乾,派包裝,A89
125AN035A,(量)奶油煉乳蝴蝶酥(2025年版)85gX10包,派&滾印餅乾,派包裝,A90
125AN040,(量)生奶油千層酥76gX10包,派&滾印餅乾,派包裝,A91
125CJ009,法式焦糖奶油千層酥76gX10包,派&滾印餅乾,派包裝,A92
125CJ010,法式焦糖烤布蕾蝴蝶酥85gX10包,派&滾印餅乾,派包裝,A93
125CJ012,(量)法式焦糖烤布蕾蝴蝶酥85gX10包,派&滾印餅乾,派包裝,A94
125CY004,海鹽焦糖千層酥100gX10盒,派&滾印餅乾,派包裝,A95
906AU004B,(半)曲奇范特西禮物盒-蜂蜜蝴蝶酥204g(以盒計),(半)西點半成品,派包裝,A96
918AU065B,(半)春之頌經典餅乾禮盒-法式蜂蜜奶油千層酥(以kg計),(半)綜合半成品,派包裝,A97
918AU065E,(半)春之頌經典餅乾禮盒-蝴蝶派(以kg計),(半)綜合半成品,派包裝,A98
925AN039A,(半)法式經典千層蝴蝶酥禮盒-蜂蜜千層酥(以kg計),(半)派&滾印餅乾半成品,派包裝,A99
925AN039B,(半)法式經典千層蝴蝶酥禮盒-楓糖奶油千層酥(以kg計),(半)派&滾印餅乾半成品,派包裝,A100
925AN039C,(半)法式經典千層蝴蝶酥禮盒-法式鹽之花奶油蝴蝶酥(以kg計),(半)派&滾印餅乾半成品,派包裝,A101
925AN039D,(半)法式經典千層蝴蝶酥禮盒-焦糖烤布蕾蝴蝶酥(以kg計),(半)派&滾印餅乾半成品,派包裝,A102
104AB012C,花生煎餅(2023年版)210gX10盒,煎餅,煎餅包裝,A103
104AB016B,花生煎餅155gX10包,煎餅,煎餅包裝,A104
104AB017,花生煎餅35gX24包,煎餅,煎餅包裝,A105
104AB022,(魷魚遊戲2)花生煎餅140gX10包,煎餅,煎餅包裝,A106
104AB023,手製丸燒-花生口味125gX10包,煎餅,煎餅包裝,A107
104BC003A,芝麻煎餅(2022年版)210gX10盒,煎餅,煎餅包裝,A108
104BD009B,綠藻煎餅(2023年版)210gX10盒,煎餅,煎餅包裝,A109
104BD011B,綠藻煎餅155gX10包,煎餅,煎餅包裝,A110
104BD012,海苔煎餅35gX24包,煎餅,煎餅包裝,A111
104BD014,手製丸燒-海苔口味125gX10包,煎餅,煎餅包裝,A112
104CU001,杏仁煎餅140gX10包,煎餅,煎餅包裝,A113
104CU002A,杏仁煎餅(2023年版)185gX10盒,煎餅,煎餅包裝,A114
104DD001,宜蘭三星蔥風味煎餅105gX10包,煎餅,煎餅包裝,A115
304BD001,(品銓)綠藻煎餅 3kg/箱,煎餅,煎餅包裝,A116
404AB001B,花生煎餅500gX5包,煎餅,煎餅包裝,A117
904AB005,(半)午茶禮盒-(真好禮)手製煎餅-花生,(半)煎餅半成品,煎餅包裝,A118
904AB007,(半)歐式午茶禮盒-花生煎餅,(半)煎餅半成品,煎餅包裝,A119
904AN003,(半)酥餅總匯-花生煎餅,(半)煎餅半成品,煎餅包裝,A120
918AU065A,(半)春之頌經典餅乾禮盒-芝麻煎餅(以kg計),(半)綜合半成品,煎餅包裝,A121
105AA013,(量)草莓厚捲燒100gX10包,捲心餅,捲心餅包裝,A122
105AA012,醇厚草莓捲180gX10盒,捲心餅,捲心餅包裝,A123
105AB008,濃厚花生脆捲140gX10包,捲心餅,捲心餅包裝,A124
105AD008,濃厚巧克力風味脆捲140gX10包,捲心餅,捲心餅包裝,A125
105AD011,醇厚72%純黑巧克力捲180gX10盒,捲心餅,捲心餅包裝,A126
105AE004,濃厚芋頭牛奶脆捲140gX10包,捲心餅,捲心餅包裝,A127
105AG010,拿鐵咖啡脆捲210gX10盒,捲心餅,捲心餅包裝,A128
